2025-04-03 16:23:43 status half-installed dpkg-dev:all 1.21.22
2025-04-03 16:23:44 status unpacked dpkg-dev:all 1.21.22
2025-04-03 16:23:44 install build-essential:amd64 <none> 12.9
2025-04-03 16:23:44 status half-installed build-essential:amd64 12.9
2025-04-03 16:23:44 status unpacked build-essential:amd64 12.9
2025-04-03 16:23:44 install libbrotli1:amd64 <none> 1.0.9-2+b6
2025-04-03 16:23:44 status half-installed libbrotli1:amd64 1.0.9-2+b6
2025-04-03 16:23:44 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-04-03 16:23:44 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2025-04-03 16:23:44 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-04-03 16:23:44 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-04-03 16:23:44 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2025-04-03 16:23:44 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-04-03 16:23:44 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2025-04-03 16:23:44 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2025-04-03 16:23:44 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-04-03 16:23:44 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-04-03 16:23:44 install libnghttp2-14:amd64 <none> 1.52.0-1+deb12u2
2025-04-03 16:23:44 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-04-03 16:23:44 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-04-03 16:23:44 install libpsl5:amd64 <none> 0.21.2-1
2025-04-03 16:23:44 status half-installed libpsl5:amd64 0.21.2-1
2025-04-03 16:23:44 status unpacked libpsl5:amd64 0.21.2-1
2025-04-03 16:23:44 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2025-04-03 16:23:44 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-04-03 16:23:44 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-04-03 16:23:44 install libssh2-1:amd64 <none> 1.10.0-3+b1
2025-04-03 16:23:44 status half-installed libssh2-1:amd64 1.10.0-3+b1
2025-04-03 16:23:44 status unpacked libssh2-1:amd64 1.10.0-3+b1
2025-04-03 16:23:44 install libcurl3-gnutls:amd64 <none> 7.88.1-10+deb12u12
2025-04-03 16:23:44 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u12
2025-04-03 16:23:44 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u12
2025-04-03 16:23:44 install libexpat1:amd64 <none> 2.5.0-1+deb12u1
2025-04-03 16:23:44 status half-installed libexpat1:amd64 2.5.0-1+deb12u1
2025-04-03 16:23:44 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2025-04-03 16:23:44 install liberror-perl:all <none> 0.17029-2
2025-04-03 16:23:44 status half-installed liberror-perl:all 0.17029-2
2025-04-03 16:23:44 status unpacked liberror-perl:all 0.17029-2
2025-04-03 16:23:44 install git-man:all <none> 1:2.39.5-0+deb12u2
2025-04-03 16:23:44 status half-installed git-man:all 1:2.39.5-0+deb12u2
2025-04-03 16:23:44 status unpacked git-man:all 1:2.39.5-0+deb12u2
2025-04-03 16:23:44 install git:amd64 <none> 1:2.39.5-0+deb12u2
2025-04-03 16:23:44 status half-installed git:amd64 1:2.39.5-0+deb12u2
2025-04-03 16:23:45 status unpacked git:amd64 1:2.39.5-0+deb12u2
2025-04-03 16:23:45 install libtool:all <none> 2.4.7-7~deb12u1
2025-04-03 16:23:45 status half-installed libtool:all 2.4.7-7~deb12u1
2025-04-03 16:23:45 status unpacked libtool:all 2.4.7-7~deb12u1
2025-04-03 16:23:45 install zip:amd64 <none> 3.0-13
2025-04-03 16:23:45 status half-installed zip:amd64 3.0-13
2025-04-03 16:23:45 status unpacked zip:amd64 3.0-13
2025-04-03 16:23:45 install zlib1g-dev:amd64 <none> 1:1.2.13.dfsg-1
2025-04-03 16:23:45 status half-installed zlib1g-dev:amd64 1:1.2.13.dfsg-1
2025-04-03 16:23:45 status unpacked zlib1g-dev:amd64 1:1.2.13.dfsg-1
2025-04-03 16:23:45 startup packages configure
2025-04-03 16:23:45 configure libexpat1:amd64 2.5.0-1+deb12u1 <none>
2025-04-03 16:23:45 status unpacked libexpat1:amd64 2.5.0-1+deb12u1
2025-04-03 16:23:45 status half-configured libexpat1:amd64 2.5.0-1+deb12u1
2025-04-03 16:23:45 status installed libexpat1:amd64 2.5.0-1+deb12u1
2025-04-03 16:23:45 configure libkeyutils1:amd64 1.6.3-2 <none>
2025-04-03 16:23:45 status unpacked libkeyutils1:amd64 1.6.3-2
2025-04-03 16:23:45 status half-configured libkeyutils1:amd64 1.6.3-2
2025-04-03 16:23:45 status installed libkeyutils1:amd64 1.6.3-2
2025-04-03 16:23:45 configure libpsl5:amd64 0.21.2-1 <none>
2025-04-03 16:23:45 status unpacked libpsl5:amd64 0.21.2-1
2025-04-03 16:23:45 status half-configured libpsl5:amd64 0.21.2-1
2025-04-03 16:23:45 status installed libpsl5:amd64 0.21.2-1
2025-04-03 16:23:45 configure libmagic-mgc:amd64 1:5.44-3 <none>
2025-04-03 16:23:45 status unpacked libmagic-mgc:amd64 1:5.44-3
2025-04-03 16:23:45 status half-configured libmagic-mgc:amd64 1:5.44-3
2025-04-03 16:23:45 status installed libmagic-mgc:amd64 1:5.44-3
2025-04-03 16:23:45 configure gawk:amd64 1:5.2.1-2 <none>
2025-04-03 16:23:45 status unpacked gawk:amd64 1:5.2.1-2
2025-04-03 16:23:45 status half-configured gawk:amd64 1:5.2.1-2
2025-04-03 16:23:45 status installed gawk:amd64 1:5.2.1-2
2025-04-03 16:23:45 configure libtirpc-common:all 1.3.3+ds-1 <none>
2025-04-03 16:23:45 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-04-03 16:23:45 status half-configured libtirpc-common:all 1.3.3+ds-1
2025-04-03 16:23:45 status installed libtirpc-common:all 1.3.3+ds-1
2025-04-03 16:23:45 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2025-04-03 16:23:45 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-04-03 16:23:45 status half-configured libbrotli1:amd64 1.0.9-2+b6
2025-04-03 16:23:45 status installed libbrotli1:amd64 1.0.9-2+b6
2025-04-03 16:23:45 configure binutils-common:amd64 2.40-2 <none>
2025-04-03 16:23:45 status unpacked binutils-common:amd64 2.40-2
2025-04-03 16:23:45 status half-configured binutils-common:amd64 2.40-2
2025-04-03 16:23:45 status installed binutils-common:amd64 2.40-2
2025-04-03 16:23:45 configure libssl3:amd64 3.0.15-1~deb12u1 <none>
2025-04-03 16:23:45 status unpacked libssl3:amd64 3.0.15-1~deb12u1
2025-04-03 16:23:45 status half-configured libssl3:amd64 3.0.15-1~deb12u1
2025-04-03 16:23:45 status installed libssl3:amd64 3.0.15-1~deb12u1
2025-04-03 16:23:45 configure libnghttp2-14:amd64 1.52.0-1+deb12u2 <none>
2025-04-03 16:23:45 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-04-03 16:23:45 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-04-03 16:23:45 status installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-04-03 16:23:45 configure libmagic1:amd64 1:5.44-3 <none>
2025-04-03 16:23:45 status unpacked libmagic1:amd64 1:5.44-3
2025-04-03 16:23:45 status half-configured libmagic1:amd64 1:5.44-3
2025-04-03 16:23:45 status installed libmagic1:amd64 1:5.44-3
2025-04-03 16:23:45 configure linux-libc-dev:amd64 6.1.129-1 <none>
2025-04-03 16:23:45 status unpacked linux-libc-dev:amd64 6.1.129-1
2025-04-03 16:23:45 status half-configured linux-libc-dev:amd64 6.1.129-1
2025-04-03 16:23:45 status installed linux-libc-dev:amd64 6.1.129-1
2025-04-03 16:23:45 configure libctf-nobfd0:amd64 2.40-2 <none>
2025-04-03 16:23:45 status unpacked libctf-nobfd0:amd64 2.40-2
2025-04-03 16:23:45 status half-configured libctf-nobfd0:amd64 2.40-2
2025-04-03 16:23:45 status installed libctf-nobfd0:amd64 2.40-2
2025-04-03 16:23:45 configure m4:amd64 1.4.19-3 <none>
2025-04-03 16:23:45 status unpacked m4:amd64 1.4.19-3
2025-04-03 16:23:45 status half-configured m4:amd64 1.4.19-3
2025-04-03 16:23:45 status installed m4:amd64 1.4.19-3
2025-04-03 16:23:45 configure file:amd64 1:5.44-3 <none>
2025-04-03 16:23:45 status unpacked file:amd64 1:5.44-3
2025-04-03 16:23:45 status half-configured file:amd64 1:5.44-3
2025-04-03 16:23:45 status installed file:amd64 1:5.44-3
2025-04-03 16:23:45 configure libgomp1:amd64 12.2.0-14 <none>
2025-04-03 16:23:45 status unpacked libgomp1:amd64 12.2.0-14
2025-04-03 16:23:45 status half-configured libgomp1:amd64 12.2.0-14
2025-04-03 16:23:45 status installed libgomp1:amd64 12.2.0-14
2025-04-03 16:23:45 configure bzip2:amd64 1.0.8-5+b1 <none>
2025-04-03 16:23:45 status unpacked bzip2:amd64 1.0.8-5+b1
2025-04-03 16:23:45 status half-configured bzip2:amd64 1.0.8-5+b1
2025-04-03 16:23:45 status installed bzip2:amd64 1.0.8-5+b1
2025-04-03 16:23:45 configure libjansson4:amd64 2.14-2 <none>
2025-04-03 16:23:45 status unpacked libjansson4:amd64 2.14-2
2025-04-03 16:23:45 status half-configured libjansson4:amd64 2.14-2
2025-04-03 16:23:45 status installed libjansson4:amd64 2.14-2
2025-04-03 16:23:45 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2025-04-03 16:23:45 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:45 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:45 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-04-03 16:23:45 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2025-04-03 16:23:45 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-04-03 16:23:45 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
