LAST SEEN   TYPE      REASON              OBJECT                        MESSAGE
19m         Normal    SuccessfulCreate    replicaset/nginx-86cdfcdf8f   Created pod: nginx-86cdfcdf8f-svcsw
10m         Normal    SuccessfulDelete    replicaset/nginx-86cdfcdf8f   Deleted pod: nginx-86cdfcdf8f-pd5wl
10m         Normal    SuccessfulDelete    replicaset/nginx-86cdfcdf8f   Deleted pod: nginx-86cdfcdf8f-svcsw
29m         Normal    Killing             pod/nginx-pod                 Stopping container nginx-pod
44m         Normal    ScalingReplicaSet   deployment/nginx              Scaled up replica set nginx-6f7db544d7 from 0 to 5
41m         Normal    ScalingReplicaSet   deployment/nginx              Scaled up replica set nginx-6f7db544d7 from 5 to 8
40m         Normal    ScalingReplicaSet   deployment/nginx              Scaled down replica set nginx-6f7db544d7 from 8 to 1
29m         Normal    ScalingReplicaSet   deployment/nginx              Scaled down replica set nginx-6f7db544d7 from 1 to 0
38m         Normal    ScalingReplicaSet   deployment/nginx              Scaled up replica set nginx-6f7db544d7 from 0 to 4
25m         Normal    ScalingReplicaSet   deployment/nginx              Scaled up replica set nginx-5696bc6558 from 0 to 1
30m         Normal    ScalingReplicaSet   deployment/nginx              Scaled down replica set nginx-6f7db544d7 from 4 to 3
30m         Normal    ScalingReplicaSet   deployment/nginx              Scaled up replica set nginx-5696bc6558 from 1 to 2
25m         Normal    ScalingReplicaSet   deployment/nginx              Scaled down replica set nginx-6f7db544d7 from 3 to 2
10m         Normal    ScalingReplicaSet   deployment/nginx              (combined from similar events): Scaled up replica set nginx-5696bc6558 from 0 to 2
25m         Normal    ScalingReplicaSet   deployment/nginx              Scaled down replica set nginx-6f7db544d7 from 2 to 1
22m         Normal    ScalingReplicaSet   deployment/nginx              Scaled up replica set nginx-6f7db544d7 from 0 to 1
